Emily Dolson
Kristen Johnson
Amy King
Abdol Esfahanian
Hui Liu
Xiaoming Liu
Billy Massey II
Stacey L. Nye
Charles Ofria
Kevin Ohl
William Punch
Arun A. Ross
Joshua Siegel
George Stockman
Jiliang Tang
Yiying Tong
Eric Torng
Imen Zaabar
Jiayu Zhou
Brandon Bohrer
Mark L. Claypool
Mohamed Y. Eltabakh
Neil Heffernan
Xiaozhong Liu
Rodica Neamtu
Elke A. Rundensteiner
Craig A. Shue
Shubbhi Taneja
Ali Yousefi
Mary Katharine Courtemanche
Angela Kao
Beckley Wooster Schowalter
Richard Billo
Kevin Bowyer
Jay Brockman
Ramzi Bualuan
Nitesh Chawla
David Chiang
John Aloimonos
Clifford Bakalian
Abhinav Bhatele
Andrew Childs
Rance Cleaveland
Tom Goldstein
Michael Hicks
Jeffrey K. Hollingsworth
David Jacobs
Clyde Kruskal
Leonidas Lampropoulos
Dave Levin
Ming Lin
Stevens Miller
Dana Nau
Rob Patro
Jandelyn Plane
James Reggia
Hanan Samet
Mohammad Nayeem Teli
Pratap Tokekar
David Van Horn
Amitabh Varshney
Xiaodi Wu
Ilchul Yoon
Matthias Zwicker
Gorjan Alagic
Aniket Bera
Eun Kyoung Choe
Michel Cukier
Niklas Elmqvist
Mihai Pop
Naeemul Hassan
Amanda Lazar
Richard Marciano
Philip Resnik
Hector Corrada Bravo
Matthew Coudron
Lise Getoor
Max Leiserson
Marc Lichtman
Jennifer Manly
Carl Miller
William Arbaugh
Victor Basili
Larry Davis
Laveen Kanal
Samir Khuller
Nicholas Roussopoulos
Marvin Zelkowitz
Eitan Borgnia
Mara Cai
Stephen Herwig
Aditya Bhaskara
Ganesh Gopalakrishnan
Tom Henderson
David Johnson
Ben Jones
Sneha Kasera
Ladislav Kavan
Mike Kirby
Marina Kogan
Alan Kuntz
Alexander Lex
Manish Parashar
Valerio Pascucci
Zvonimir Rakamaric
Dan Reed
John Regehr
Varun Shankar
Blair Sullivan
Bei Wang Phillips
Cem Yuksel
Pierre-Emmanuel Gaillardon
Pania Newell
Masood Parvania
Tolga Tasdizen
Anders Ynnerman
Eric Eide
Shireen Elhabian
Robert Ricci
Abdeslam Boularias
John-Austen Francisco
Kyumin Lee
Aravind Srinivasan
Travis Martin
Lily Chang
Tomasz Imielinski
Mubbasir Kapadia
Karthik Srikanta
Amelie Marian
Richard Martin
Dimitris Metaxas
Konstantinos Michmizos
Santosh Nagarakatte
Thu Nguyen
Vladimir Pavlovic
David Pennock
Lars Sorensen
Frances Trees
Hao Wang
Jingjin Yu
Zheng Zhang
Ishfaq Ahmad
Vassilis Athitsos
Sharma Chakravarthy
Christopher Conly
Ronald E. Cross
Christoph Csallner
Gautam Das
Elizabeth Diaz
Negin Fraidouni
Shawn Gieser
Vamsikrishna Gopikrishna
Junzhou Huang
Bahram Khalili
Jeff (Yu) Lei
Chengkai Li
Yonghe Liu
Jacob Luber
Chris McMurrough
Shirin Nilizadeh
Habeeb Olufowobi
Jia Rao
Abhishek Santra
Alexandra Stefan
Cesar Torres  Assistant Professor
Tim Hickey
Olga Papaemmanouil
Keith Plaster
James Pustejovsky
R. Pito Salas
Iraklis Tsekourakis
Serafini, Marco
Sharma, Sahil
Sheldon, Dan
Shiao, Jennifer
Smith, Katie
Souza, Abel
Stawasz, Pamela
Stubbs, Julie
Suri, Neeraj
Nianwen Bert Xue
Siegelmann, Hava
Mahyar, Narges
Maji, Subhransu
Marlin, Ben
Marquard, Jenna
Mazeski, Joyce
Mazumdar, Arya
Merlino, Nick
Miklau, Gerome
Moruzzi, Kate
Moss, J. Eliot
Manmatha, R.
Apostolellis, Panagiotis
Doryab, Afsaneh
Evans, David
Grimshaw, Andrew
Hassan, Wajih
Hott, John R.
Khan, Samira
Murray, Thomas
Li, Jundong
Pettit, Raymond
Praphamontripong, Upsorn
Reiss, Charles
Sherriff, Mark
Stone, Derrick
Skadron, Kevin
Wang, Tianhao
Corey Clark
Ira Greenberg
Michael Hahsler
Eric Larson
Mustafa Bilgic
