school,ranking,indegree,outdegree,in_to_out_ratio
"BRAC University",1138,0.00,1.00,0.00
"Friends University",1139,0.00,0.00,0.00
"Simón Bolívar University (Venezuela)",1140,0.00,0.00,0.00
"American Public University System",1141,0.00,2.00,0.00
"Trine University",1142,0.00,1.00,0.00
"Lagos State University",1143,0.00,0.00,0.00
"Saxion University of Applied Sciences",1144,0.00,1.00,0.00
"Biola University",1145,0.00,1.00,0.00
"James Madison University",1146,0.00,0.00,0.00
"Vanguard University",1147,0.00,1.00,0.00
"Wilmington University",1148,0.00,0.00,0.00
"International University of Japan",1149,0.00,1.00,0.00
"Alderson Broaddus University",1150,0.00,2.00,0.00
"International University for Science and Technology",1151,0.00,0.00,0.00
"Waterford Institute of Technology",1152,0.00,1.00,0.00
"Heritage University",1153,0.00,0.00,0.00
"North South University",1154,0.00,1.00,0.00
"Shahid Beheshti University",1155,0.00,0.00,0.00
"American InterContinental University",1156,0.00,1.00,0.00
"Indian Statistical Institute",1157,0.00,2.00,0.00
"FPT University",1158,0.00,1.00,0.00
"State University of New York at Oneonta",1159,0.00,1.00,0.00
"An-Najah National University",1160,0.00,1.00,0.00
"Emory and Henry College",1161,0.00,0.00,0.00
"Belmont University",1162,0.00,0.00,0.00
"University of Trento",1163,0.00,1.00,0.00
"Distance education",1164,0.00,1.00,0.00
"Kerala University of Digital Sciences, Innovation and Technology",1165,0.00,1.00,0.00
"Northwest Missouri State University",1166,0.00,0.00,0.00
"Tafila Technical University",1167,0.00,1.00,0.00
"New Mexico Institute of Mining and Technology",1168,0.00,1.00,0.00
"Panjab University",1169,0.00,1.00,0.00
"List of agricultural universities and colleges",1170,0.00,1.00,0.00
"Tunghai University",1171,0.00,0.00,0.00
"Heriot-Watt University",1172,0.00,1.00,0.00
"Gulf University for Science and Technology",1173,0.00,0.00,0.00
"United Nations University",1174,0.00,1.00,0.00
"A.T. Still University",1175,0.00,1.00,0.00
"New Jersey City University",1176,0.00,2.00,0.00
"Université de Montréal",1177,0.00,1.00,0.00
"Rowan University",1178,0.00,0.00,0.00
"Anschutz Medical Campus",1179,0.00,1.00,0.00
"University of Phoenix",1180,0.00,1.00,0.00
"Mount Washington College",1181,0.00,0.00,0.00
"Davidson College",1182,0.00,1.00,0.00
"Indiana State University",1183,0.00,1.00,0.00
"De La Salle University",1184,0.00,1.00,0.00
"Panamerican University",1185,0.00,1.00,0.00
"Salve Regina University",1186,0.00,0.00,0.00
"University of Cologne",1187,0.00,1.00,0.00
"Bielefeld University",1188,0.00,0.00,0.00
"Al-Hussein Bin Talal University",1189,0.00,1.00,0.00
"Taif University",1190,0.00,0.00,0.00
"Keimyung University",1191,0.00,1.00,0.00
"Virginia Union University",1192,0.00,0.00,0.00
"Bard College",1193,0.00,0.00,0.00
"Shaw University",1194,0.00,0.00,0.00
"Curry College",1195,0.00,1.00,0.00
"Emmanuel College (Massachusetts)",1196,0.00,0.00,0.00
"Wentworth Institute of Technology",1197,0.00,0.00,0.00
"St Anne's College, Oxford",1198,0.00,1.00,0.00
"Istanbul Commerce University",1199,0.00,1.00,0.00
"University of Missouri–Kansas City",1200,0.00,1.00,0.00
"University of Westminster",1201,0.00,1.00,0.00
"Tatung University",1202,0.00,1.00,0.00
"Drew University",1203,0.00,1.00,0.00
"University of Texas Permian Basin",1204,0.00,0.00,0.00
"University of the Virgin Islands",1205,0.00,0.00,0.00
"University of Central Missouri",1206,0.00,0.00,0.00
"Qazvin University of Medical Sciences",1207,0.00,1.00,0.00
"University of Mobile",1208,0.00,1.00,0.00
"South Asian University",1209,0.00,1.00,0.00
"London South Bank University",1210,0.00,1.00,0.00
"Southern Utah University",1211,0.00,1.00,0.00
"Lebanese University",1212,0.00,1.00,0.00
"La Trobe University",1213,0.00,1.00,0.00
"Franklin Pierce University",1214,0.00,1.00,0.00
"Mayo Clinic Alix School of Medicine",1215,0.00,1.00,0.00
"Middlesex University",1216,0.00,1.00,0.00
"Samford University",1217,0.00,0.00,0.00
"University of Strathclyde",1218,0.00,1.00,0.00
"National University of Engineering",1219,0.00,1.00,0.00
"College of Saint Rose",1220,0.00,1.00,0.00
"Jiangnan University",1221,0.00,1.00,0.00
"Grambling State University",1222,0.00,1.00,0.00
"Guangxi University",1223,0.00,0.00,0.00
"Information and Communications University",1224,0.00,1.00,0.00
"Columbia College (South Carolina)",1225,0.00,0.00,0.00
"Harbin Institute of Technology",1226,0.00,0.00,0.00
"Edgewood College",1227,0.00,1.00,0.00
"Transilvania University of Brașov",1228,0.00,1.00,0.00
"Al-Azhar University",1229,0.00,0.00,0.00
"List of universities and colleges in Saudi Arabia",1230,0.00,0.00,0.00
"Autonomous University of Tamaulipas",1231,0.00,0.00,0.00
"University of Skövde",1232,0.00,0.00,0.00
"Chamberlain University",1233,0.00,1.00,0.00
"College and university rankings",1234,0.00,1.00,0.00
"Transylvania University",1235,0.00,0.00,0.00
"Fred Hutchinson Cancer Research Center",1236,0.00,1.00,0.00
"Africa University",1237,0.00,1.00,0.00
"University of the Azores",1238,0.00,1.00,0.00
"Plymouth State University",1239,0.00,0.00,0.00
"IntelliTec College",1240,0.00,1.00,0.00
"University of Nebraska Omaha",1241,0.00,1.00,0.00
"Sanyo Gakuen University",1242,0.00,1.00,0.00
"University of Siena",1243,0.00,1.00,0.00
"Chung-Ang University",1244,0.00,1.00,0.00
"Al Yamamah University",1245,0.00,0.00,0.00
"Chongqing University",1246,0.00,1.00,0.00
"International School for Advanced Studies",1247,0.00,1.00,0.00
"Montana Technological University",1248,0.00,1.00,0.00
"California State University, Fullerton",1249,0.00,1.00,0.00
"Mie University",1250,0.00,1.00,0.00
"Suffolk University",1251,0.00,0.00,0.00
"Pitzer College",1252,0.00,0.00,0.00
"University of Mosul",1253,0.00,1.00,0.00
"Mills College",1254,0.00,1.00,0.00
"Bellevue University",1255,0.00,1.00,0.00
"Naropa University",1256,0.00,1.00,0.00
"King Mongkut's Institute of Technology Ladkrabang",1257,0.00,1.00,0.00
"Oklahoma Christian University",1258,0.00,1.00,0.00
"University of Modena and Reggio Emilia",1259,0.00,1.00,0.00
"University of Massachusetts",1260,0.00,1.00,0.00
"Wingate University",1261,0.00,1.00,0.00
"Jan Długosz University",1262,0.00,1.00,0.00
"University of Science and Technology",1263,0.00,1.00,0.00
"West Coast University",1264,0.00,1.00,0.00
