school,ranking,indegree,outdegree,in_to_out_ratio
"University of California, Merced",378,1.00,1.00,1.00
"Xiamen University",379,1.00,0.00,1.00
"Federal University of São Carlos",380,1.00,0.00,1.00
"Southern Methodist University",381,1.00,4.00,0.25
"Virginia Commonwealth University",382,1.00,0.00,1.00
"East Carolina University",383,1.00,1.00,1.00
"Alexandria University",384,1.00,0.00,1.00
"University of Florence",385,1.00,0.00,1.00
"University of Idaho",386,1.00,0.00,1.00
"San Jose State University",387,1.00,1.00,1.00
"University of Dayton",388,1.00,0.00,1.00
"Horace H. Rackham School of Graduate Studies",389,1.00,0.00,1.00
"Nova Southeastern University",390,1.00,0.00,1.00
"Vrije Universiteit Amsterdam",391,1.00,0.00,1.00
"Harvard Business School",392,1.00,0.00,1.00
"Northwestern University Pritzker School of Law",393,1.00,0.00,1.00
"Grenoble Alpes University",394,1.00,0.00,1.00
"School of Visual Arts",395,1.00,0.00,1.00
"Perelman School of Medicine at the University of Pennsylvania",396,1.00,0.00,1.00
"California State Polytechnic University, Pomona",397,1.00,1.00,1.00
"Nebraska Wesleyan University",398,1.00,0.00,1.00
"University of Maryland Global Campus",399,0.00,0.00,0.00
"Allegheny College",400,0.00,0.00,0.00
"North Park University",401,0.00,0.00,0.00
"University of St. Thomas (Minnesota)",402,0.00,0.00,0.00
"IIT Delhi",403,0.00,1.00,0.00
"Beihang University",404,0.00,2.00,0.00
"University of the Chinese Academy of Sciences",405,0.00,0.00,0.00
"University of the Western Cape",406,0.00,0.00,0.00
"Middlebury College",407,0.00,0.00,0.00
"University of Electronic Science and Technology of China",408,0.00,0.00,0.00
"Tongji University",409,0.00,0.00,0.00
"Monterrey Institute of Technology and Higher Education",410,0.00,0.00,0.00
"MIT Sloan School of Management",411,0.00,0.00,0.00
"Zhejiang University",412,0.00,0.00,0.00
"Jagiellonian University",413,0.00,0.00,0.00
"United States Navy Strike Fighter Tactics Instructor program",414,0.00,0.00,0.00
"University of Ulm",415,0.00,0.00,0.00
"Chennai Mathematical Institute",416,0.00,0.00,0.00
"Wang Institute of Graduate Studies",417,0.00,0.00,0.00
"London School of Economics",418,0.00,0.00,0.00
"Olin College",419,0.00,1.00,0.00
"Hofstra University",420,0.00,1.00,0.00
"not found",421,0.00,0.00,0.00
"Jawaharlal Nehru University",422,0.00,0.00,0.00
"Eindhoven University of Technology",423,0.00,2.00,0.00
"Pratt Institute",424,0.00,0.00,0.00
"East China Normal University",425,0.00,0.00,0.00
"Sabancı University",426,0.00,0.00,0.00
"Middle East Technical University",427,0.00,2.00,0.00
"Bilkent University",428,0.00,0.00,0.00
"Waseda University",429,0.00,0.00,0.00
"California State University, Northridge",430,0.00,0.00,0.00
"Northeast Normal University",431,0.00,0.00,0.00
"USC Gould School of Law",432,0.00,0.00,0.00
"University of Wisconsin–Oshkosh",433,0.00,0.00,0.00
"Singapore University of Technology and Design",434,0.00,0.00,0.00
"Beijing Jiaotong University",435,0.00,0.00,0.00
"Miami University",436,0.00,3.00,0.00
"University of North Carolina at Greensboro",437,0.00,0.00,0.00
"Houghton College",438,0.00,0.00,0.00
"IIT Roorkee",439,0.00,0.00,0.00
