school,ranking,indegree,outdegree,in_to_out_ratio
King's College London,548,0.00,0.00,0.00
Cardinal Newman High School (West Palm Beach,549,0.00,0.00,0.00
Baltimore Polytechnic Institute,550,0.00,0.00,0.00
Pritzker School of Medicine,551,0.00,0.00,0.00
Albert Einstein College of Medicine,552,0.00,0.00,0.00
University of Hanover,553,0.00,0.00,0.00
University of Buenos Aires,554,0.00,0.00,0.00
Ain Shams University,555,0.00,0.00,0.00
College of Engineering,556,0.00,0.00,0.00
Minnesota State University,557,0.00,0.00,0.00
Bemidji State University,558,0.00,0.00,0.00
University of Tokyo,559,0.00,0.00,0.00
Jilin University,560,0.00,0.00,0.00
West Springfield High School (Virginia),561,0.00,0.00,0.00
Lawrenceville School,562,0.00,0.00,0.00
Polytechnique Montréal,563,1.00,0.00,1.00
Beijing University of Technology,564,0.00,0.00,0.00
West Virginia Wesleyan College,565,0.00,0.00,0.00
Radboud University Nijmegen,566,1.00,0.00,1.00
Saint Mary's College of California,567,0.00,0.00,0.00
Yonsei University,568,0.00,3.00,0.00
Lake Forest College,569,0.00,1.00,0.00
Loyola University Chicago,570,0.00,0.00,0.00
Argosy University,571,0.00,1.00,0.00
University,572,0.00,16.00,0.00
University of the Amazon,573,0.00,4.00,0.00
University of Memphis,574,0.00,2.00,0.00
Vassar College,575,0.00,0.00,0.00
Chuo University,576,0.00,1.00,0.00
Fairfield University,577,0.00,2.00,0.00
Montana State University,578,0.00,0.00,0.00
List of state and territorial universities in the United States,579,0.00,0.00,0.00
International university,580,0.00,4.00,0.00
Amherst College,581,0.00,0.00,0.00
Universidad Nacional del Sur,582,0.00,0.00,0.00
Muskingum University,583,0.00,1.00,0.00
Alexandru Ioan Cuza University,584,0.00,0.00,0.00
Bennington College,585,0.00,0.00,0.00
Northwestern Health Sciences University,586,0.00,0.00,0.00
School of the Art Institute of Chicago,587,1.00,2.00,0.50
Monash University,588,0.00,0.00,0.00
Kennesaw State University,589,0.00,0.00,0.00
Hokkaido University,590,0.00,0.00,0.00
Himachal Pradesh University,591,0.00,0.00,0.00
SRM Institute of Science and Technology,592,0.00,2.00,0.00
Holy Names University,593,0.00,0.00,0.00
University of Massachusetts Lowell,594,0.00,1.00,0.00
Ismail Qemali University of Vlorë,595,0.00,0.00,0.00
University of Information Science and Technology "St. Paul The Apostle",596,0.00,0.00,0.00
Rochester Institute of Technology,597,0.00,3.00,0.00
Jordan University of Science and Technology,598,0.00,2.00,0.00
Jerash University,599,0.00,0.00,0.00
