n
"{""name"":Wellesley College}"
"{""name"":New York University School of Medicine}"
"{""name"":Charles University in Prague}"
"{""name"":The University of Edinburgh}"
"{""name"":Stevens Institute of Technology}"
"{""name"":Université de Picardie Jules Verne (Amiens)}"
"{""name"":Colorado State University}"
"{""name"":Karlsruhe Institute of Technology (KIT)}"
"{""name"":Peter the Great St.Petersburg Polytechnic University}"
"{""name"":Pratibha Junior College}"
"{""name"":Birla Institute of Technology and Science}"
"{""name"":Victoria Jubilee Technical Institute (VJTI)}"
"{""name"":Virginia Tech}"
"{""name"":Sonoma State University}"
"{""name"":The Hebrew University}"
"{""name"":Kendriya Vidyalaya}"
"{""name"":Dartmouth College}"
"{""name"":University of the Witwatersrand}"
"{""name"":University of Edinburgh}"
"{""name"":Colorado School of Mines}"
"{""name"":San Joaquin Delta College}"
"{""name"":Claremont McKenna College}"
"{""name"":Hangzhou Foreign Languages School}"
"{""name"":Johnson C. Smith University - JCSU}"
"{""name"":North Carolina State University}"
"{""name"":The University of Toledo}"
"{""name"":Indian Institute of Science}"
"{""name"":University of Belgrade}"
"{""name"":Purdue University}"
"{""name"":Oxford University}"
"{""name"":University of Sydney}"
"{""name"":ETH Zürich}"
"{""name"":American University of Beirut}"
"{""name"":University of Vienna, Austria}"
"{""name"":Eberhard-Karls-Universität Tübingen}"
"{""name"":Interlake High School}"
"{""name"":University of Zurich}"
"{""name"":Fudan University}"
"{""name"":University of Florida}"
"{""name"":University of Regina}"
"{""name"":Emmaus High School}"
"{""name"":Saint George's School}"
"{""name"":University of Delaware}"
"{""name"":Lincoln-Sudbury Regional High School}"
"{""name"":Belmont High School, Belmont MA}"
"{""name"":Sapienza Università di Roma}"
"{""name"":Flinders University}"
"{""name"":Johannes Gutenberg University Mainz}"
"{""name"":Smith College}"
"{""name"":New York Academy of Art}"
"{""name"":Wuhan University}"
"{""name"":Choate Rosemary Hall}"
"{""name"":BUET}"
"{""name"":National Institute of Technology Warangal}"
"{""name"":Top Gun}"
"{""name"":Tennessee Technological University}"
"{""name"":Budapest University of Technology and Economics}"
"{""name"":Vanderbilt University}"
"{""name"":Siena College}"
"{""name"":Nanyang Technological University}"
"{""name"":Indian Institute of Technology (Banaras Hindu University), Varanasi}"
"{""name"":Florida Agricultural and Mechanical University}"
"{""name"":Delhi Public School - R. K. Puram}"
"{""name"":Indian Institute of Technology, Roorkee}"
"{""name"":Moscow Institute of Physics and Technology (State University) (MIPT)}"
"{""name"":Florida State University}"
"{""name"":Beijing University of Posts and Telecommunications}"
"{""name"":Massachuettes Insitute of Technology}"
"{""name"":Maharashtra Institute of Technology}"
"{""name"":Arizona State University}"
"{""name"":Government College of Engineering &amp; Textile technology, Serampore}"
"{""name"":Santa Clara University}"
"{""name"":University of Alberta}"
"{""name"":Virginia Polytechnic Institute and State University}"
"{""name"":Princeton Theological Seminary}"
"{""name"":Auburn University}"
"{""name"":University of Electronic Science and Technology}"
"{""name"":Brown University School of Engineering}"
"{""name"":United States Naval Academy}"
"{""name"":St. Patrick's, HPS(R), LFJC}"
"{""name"":Truman State University}"
"{""name"":Shattuck School}"
"{""name"":Carleton College}"
"{""name"":EPFL (École polytechnique fédérale de Lausanne)}"
"{""name"":Luther College}"
"{""name"":University of Texas at Dallas}"
"{""name"":Trinity University}"
"{""name"":Birla High School}"
"{""name"":University of Moratuwa}"
"{""name"":St Thomas School}"
"{""name"":National University of Computer and Emerging Sciences}"
"{""name"":Berklee College of Music}"
"{""name"":University of Louisville}"
"{""name"":University of Sussex}"
"{""name"":Newcastle University}"
"{""name"":Computer Science, 'Politehnica' University, Bucharest}"
"{""name"":Computer Science, Southern Methodist University}"
"{""name"":PES Institute of Technology}"
"{""name"":University of Minnesota}"
"{""name"":Reali}"
"{""name"":University of Oregon}"
"{""name"":University of Central Florida}"
"{""name"":TECNUN, University of Navarra}"
"{""name"":Aurora University}"
"{""name"":University of Massachusetts, Amherst}"
"{""name"":University of Nottingham}"
"{""name"":University of Stuttgart}"
"{""name"":Xiamen University}"
"{""name"":University of Pittsburgh, Pittsburgh}"
"{""name"":Humboldt-Universität zu Berlin}"
"{""name"":University of Calicut}"
"{""name"":Banaras Hindu University}"
"{""name"":Portland State University}"
"{""name"":Chaparral High School}"
"{""name"":Haldia Institute of Technology}"
"{""name"":University of St. Thomas}"
"{""name"":École des Ponts ParisTech}"
"{""name"":Palo Alto High School}"
"{""name"":Universidade Federal de Minas Gerais}"
"{""name"":Moscow Institute of Physics and Technology (MIPT)}"
"{""name"":University of Ottawa}"
"{""name"":The University of New Mexico}"
"{""name"":Ohio Wesleyan University}"
"{""name"":Ithaca College}"
"{""name"":UCSD}"
"{""name"":King's College London, U. of London}"
"{""name"":Cardinal Newman High School}"
"{""name"":Baltimore Polytechnic Institute}"
"{""name"":University of Chicago - The Pritzker School of Medicine}"
"{""name"":Albert Einstein College of Medicine of Yeshiva University}"
"{""name"":FHDW Hannover}"
"{""name"":Universidad de Buenos Aires}"
"{""name"":Ain Shams University}"
"{""name"":Amirkabir University of Technology - Tehran Polytechnic}"
"{""name"":Islamic Azad University}"
"{""name"":College of Engineering, Guindy}"
"{""name"":Universidade de São Paulo}"
"{""name"":Rutgers University}"
"{""name"":The Lawrenceville School}"
"{""name"":Polytechnique Montréal}"
"{""name"":Orta Doğu Teknik Üniversitesi}"
"{""name"":University of Pittsburgh}"
"{""name"":Toyota Technological Institute at Chicago}"
"{""name"":University of Bologna}"
"{""name"":UCL}"
"{""name"":Imperial College London}"
"{""name"":Lancaster University}"
"{""name"":Cardiff University / Prifysgol Caerdydd}"
"{""name"":Duke University - The Fuqua School of Business}"
"{""name"":INRIA}"
"{""name"":Kellogg School of Management}"
"{""name"":Wolfram Summer School}"
"{""name"":Texas A&amp;M University}"
"{""name"":Johns Hopkins Whiting School of Engineering}"
"{""name"":Syracuse University}"
"{""name"":University of Massachusetts Dartmouth}"
"{""name"":Universität Karlsruhe (TH)}"
"{""name"":Indiana University Bloomington}"
"{""name"":The Rockefeller University}"
"{""name"":Max Planck Institute for Informatics}"
"{""name"":IIT Kharagpur}"
"{""name"":Advanced Centre for Treatment Research and Education in Cancer, University of Mumbai}"
"{""name"":Johannes Kepler Universität Linz}"
"{""name"":City University of New York-Hunter College}"
"{""name"":Pratt Institute}"
"{""name"":Kungliga tekniska högskolan / KTH Royal Institute of Technology}"
"{""name"":The George Washington University}"
"{""name"":ETH Zurich, Max Planck Institute for Biological Cybernetics, MPI for Intelligent Systems}"
"{""name"":Galvanize Inc}"
"{""name"":Johns Hopkins}"
"{""name"":Czech Technical University in Prague}"
"{""name"":Federal Institute of Technologies, ETHZ, Switzerland}"
"{""name"":School of Visual Arts}"
"{""name"":University College London, U. of London}"
"{""name"":Technical University of Košice}"
"{""name"":Aarhus Universitet}"
"{""name"":Ecole normale supérieure}"
"{""name"":Bar-Ilan University}"
"{""name"":Vrije Universiteit Amsterdam (VU Amsterdam)}"
"{""name"":Amherst College}"
"{""name"":Eötvös Loránd University}"
"{""name"":TU Dortmund University}"
"{""name"":Technische Universiteit Delft}"
"{""name"":American University}"
"{""name"":University of Notre Dame}"
"{""name"":Universidad Politécnica de Cataluña}"
"{""name"":University of Tennessee-Knoxville}"
"{""name"":University of Minnesota-Twin Cities}"
"{""name"":Institut national polytechnique de Grenoble}"
"{""name"":University of California, Davis}"
"{""name"":Rheinische Friedrich-Wilhelms-Universität Bonn}"
"{""name"":Charter College}"
"{""name"":University of Texas at Austin}"
"{""name"":California College of the Arts}"
"{""name"":University of California}"
"{""name"":Worcester Polytechnic Institute}"
"{""name"":Rochester Institute of Technology}"
"{""name"":National Institutes of Health}"
"{""name"":Ford Motor Company}"
"{""name"":Oklahoma State University}"
"{""name"":Northeastern University}"
"{""name"":Duke University Medical Center}"
"{""name"":Clemson University}"
"{""name"":Brigham and Women's Hospital}"
"{""name"":Newberry College}"
"{""name"":Lehigh University}"
"{""name"":Polytechnic Institute of New York University}"
"{""name"":Howard University}"
"{""name"":Tennessee State University}"
"{""name"":George Mason University}"
"{""name"":Pepperdine University}"
"{""name"":Cold Spring Harbor Laboratory}"
"{""name"":Vassar College}"
"{""name"":York College of Pennsylvania}"
"{""name"":Chatham University}"
"{""name"":University of San Francisco}"
"{""name"":Winthrop University}"
"{""name"":Vanderbilt University Medical Center}"
"{""name"":Wake Forest Baptist Health}"
"{""name"":Brown University School of Professional Studies}"
"{""name"":Bennington College}"
"{""name"":Albert Einstein College of Medicine}"
"{""name"":Oregon State University}"
"{""name"":University of Wyoming}"
"{""name"":School of the Art Institute of Chicago}"
