head_node,tail_node,weight
University of North Carolina at Charlotte,University of Virginia,1
University of North Carolina at Charlotte,North Carolina State University,1
Toyota Technological Institute,University of Nebraska–Lincoln,1
Tulane University,Brown University,2
Tulane University,Michigan State University,3
Tulane University,Northeast Forestry University,1
Tulane University,Texas A&M University,1
University of Toronto,Brown University,1
University of Toronto,University of Nebraska–Lincoln,1
University of Toronto,University of Innsbruck,1
University of Toronto,University of Toronto,3
University of Toronto,Purdue University,1
University of Toronto,Princeton University,1
University of Toronto,Harvard University,1
University of Toronto,Carnegie Mellon University,2
University of Toronto,Massachusetts Institute of Technology,3
University of Toronto,University of Chicago,1
University of Toronto,Johns Hopkins University,1
University of Toronto,Rutgers University,1
University of Toronto,Texas A&M University,1
University of Toronto,University of Texas at Arlington,1
University of Toronto,University of Pennsylvania,1
University of Toronto,University of Illinois Urbana-Champaign,1
University of Toronto,University of Virginia,1
University of Toronto,California Institute of Technology,1
Vanderbilt University,University of Nebraska–Lincoln,1
Vanderbilt University,"University of Maryland, College Park",1
Vanderbilt University,Northwestern University Pritzker School of Law,1
Vanderbilt University,University of Pennsylvania,2
Vanderbilt University,Georgia Tech,2
Vanderbilt University,Vanderbilt University,13
Vanderbilt University,Oregon State University,1
Vanderbilt University,University of Tennessee,1
Vanderbilt University,Free University of Berlin,1
Vanderbilt University,National Technical University of Athens,1
Vanderbilt University,North Carolina State University,1
Vanderbilt University,"University of California, Berkeley",1
Vanderbilt University,Brown University,1
Vanderbilt University,Virginia Tech,2
Vanderbilt University,University of Alberta,1
Vanderbilt University,University of Florida,1
Vanderbilt University,University of Tennessee at Chattanooga,1
Vanderbilt University,Ohio State University,1
Vanderbilt University,"University of California, Irvine",1
Vanderbilt University,Washington University in St. Louis,1
Tongji University,University of Missouri,1
Tongji University,"University of Maryland, College Park",1
Tongji University,Chinese Culture University,1
Tongji University,University of Waterloo,1
University of Missouri,University of Missouri,1
University of Missouri,University of Texas at Austin,1
University of Missouri,University of Wisconsin–Madison,1
University of Missouri,University of Missouri–St. Louis,1
University of Missouri,Boston University,1
Massachusetts Institute of Technology,University of Missouri,1
Massachusetts Institute of Technology,University of Nebraska–Lincoln,1
Massachusetts Institute of Technology,Massachusetts Institute of Technology,101
Massachusetts Institute of Technology,"University of California, Berkeley",33
Massachusetts Institute of Technology,Stanford University,23
Massachusetts Institute of Technology,Arizona State University,1
Massachusetts Institute of Technology,Purdue University,2
Massachusetts Institute of Technology,Open University,1
Massachusetts Institute of Technology,Northeastern University,2
Massachusetts Institute of Technology,École Polytechnique Fédérale de Lausanne,3
Massachusetts Institute of Technology,Harvard University,7
Massachusetts Institute of Technology,Columbia University,2
Massachusetts Institute of Technology,University of Washington,1
Massachusetts Institute of Technology,"University of California, Los Angeles",3
Massachusetts Institute of Technology,North Carolina A&T State University,1
Massachusetts Institute of Technology,Northwestern University,5
Massachusetts Institute of Technology,Carnegie Mellon University,9
Massachusetts Institute of Technology,University of Southern California,2
Massachusetts Institute of Technology,University of Sussex,1
Massachusetts Institute of Technology,Cornell University,4
Massachusetts Institute of Technology,University of Edinburgh,1
Massachusetts Institute of Technology,New York University,2
Massachusetts Institute of Technology,University of Colorado Boulder,3
Massachusetts Institute of Technology,Yale University,2
Massachusetts Institute of Technology,"University of California, Davis",1
Massachusetts Institute of Technology,University of Texas at Austin,3
Massachusetts Institute of Technology,University of Michigan,2
Massachusetts Institute of Technology,Imperial College London,1
Massachusetts Institute of Technology,University of Chicago,2
Massachusetts Institute of Technology,Ohio University,1
Massachusetts Institute of Technology,"University of Maryland, College Park",1
Massachusetts Institute of Technology,University of Illinois Urbana-Champaign,11
Massachusetts Institute of Technology,Polytechnic University of Turin,1
Massachusetts Institute of Technology,Rutgers University,1
Massachusetts Institute of Technology,University of Pennsylvania,5
Massachusetts Institute of Technology,Technion – Israel Institute of Technology,1
Massachusetts Institute of Technology,Duke University,4
Massachusetts Institute of Technology,University of Oxford,1
Massachusetts Institute of Technology,University of Cambridge,1
Massachusetts Institute of Technology,Institute of technology,1
Massachusetts Institute of Technology,Harvard Medical School,3
Massachusetts Institute of Technology,MIT Sloan School of Management,1
Massachusetts Institute of Technology,University of Waterloo,1
Massachusetts Institute of Technology,Princeton University,4
Massachusetts Institute of Technology,Linnaeus University,1
Massachusetts Institute of Technology,California Institute of Technology,5
Massachusetts Institute of Technology,Brown University,1
Massachusetts Institute of Technology,Delft University of Technology,1
Massachusetts Institute of Technology,Harvard–MIT Program in Health Sciences and Technology,2
Massachusetts Institute of Technology,Toyota Technological Institute,1
Massachusetts Institute of Technology,Chapman University,1
Massachusetts Institute of Technology,University of Utah,1
Massachusetts Institute of Technology,Lehigh University,1
Massachusetts Institute of Technology,Dartmouth College,1
Massachusetts Institute of Technology,Ohio State University,1
Massachusetts Institute of Technology,Johns Hopkins School of Medicine,1
Massachusetts Institute of Technology,North Carolina State University,2
Massachusetts Institute of Technology,University of Minnesota,2
Massachusetts Institute of Technology,Georgia Tech,1
Massachusetts Institute of Technology,"University of California, Irvine",2
Massachusetts Institute of Technology,"University of California, San Diego",2
Massachusetts Institute of Technology,U.S. Air Force Test Pilot School,2
Massachusetts Institute of Technology,"University of California, Santa Barbara",1
Washington University in St. Louis,College of William & Mary,1
Washington University in St. Louis,Washington University in St. Louis,2
Washington University in St. Louis,University of Iowa,1
Washington University in St. Louis,Texas A&M University,1
Washington University in St. Louis,University of Wisconsin–Milwaukee,1
Washington University in St. Louis,Cornell University,3
Washington University in St. Louis,University of Pennsylvania,1
Washington University in St. Louis,University of Colorado Boulder,1
Washington University in St. Louis,Brown University,1
Washington University in St. Louis,University of Virginia,1
Washington University in St. Louis,Vanderbilt University,1
Washington University in St. Louis,University of Washington,1
Washington University in St. Louis,University of Illinois Urbana-Champaign,1
Washington University in St. Louis,Stanford University,1
Washington University in St. Louis,Missouri University of Science and Technology,1
Washington University in St. Louis,American Business and Technology University,1
Washington University in St. Louis,DePauw University,1
Washington University in St. Louis,University,1
Washington University in St. Louis,California Institute of Technology,1
City University,University of Nebraska–Lincoln,1
Lawrence Technological University,Michigan Technological University,1
Lawrence Technological University,Kansas State University,1
Monterrey Institute of Technology and Higher Education,Kansas State University,1
Kennesaw State University,Kansas State University,1
IIT Delhi,Pennsylvania State University,1
IIT Delhi,Cornell University,2
IIT Delhi,"University of California, Santa Barbara",1
IIT Delhi,Stanford University,1
IIT Delhi,"University of California, Los Angeles",2
IIT Delhi,Massachusetts Institute of Technology,2
IIT Delhi,University of Pennsylvania,2
IIT Delhi,Vanderbilt University,1
IIT Delhi,Stony Brook University,1
IIT Delhi,University of Texas at Austin,1
IIT Delhi,"University of California, Berkeley",1
IIT Delhi,University of Washington,1
"University of California, San Diego",Pennsylvania State University,1
"University of California, San Diego",Wesleyan University,1
"University of California, San Diego","University of California, Berkeley",2
"University of California, San Diego",University of Nebraska–Lincoln,1
"University of California, San Diego","University of California, San Diego",12
"University of California, San Diego","University of California, Los Angeles",2
"University of California, San Diego",University of the Amazon,1
"University of California, San Diego",Carnegie Mellon University,2
"University of California, San Diego",Harvard University,1
"University of California, San Diego",University of Utah,1
"University of California, San Diego",University of Massachusetts Amherst,1
"University of California, San Diego",University of Virginia,1
"University of California, San Diego",North Carolina State University,1
"University of California, San Diego",University,1
