last_work,next_work,weight
Harvard University,Northwestern University,3
Harvard University,Cornell University,3
Harvard University,University of Massachusetts Lowell,1
Harvard University,Boston University,1
Harvard University,University of Colorado Boulder,2
Harvard University,Tufts University,2
Harvard University,Worcester Polytechnic Institute,1
Harvard University,"University of California, Berkeley",2
Harvard University,University of Utah,1
Harvard University,Columbia University,1
Harvard University,Stanford University,4
Harvard University,Duke University,1
Harvard University,Massachusetts Institute of Technology,2
Harvard University,University of Virginia,1
Harvard University,Brown University,3
Harvard University,Princeton University,1
Harvard University,University College London,1
Harvard University,Drexel University,1
Harvard University,"University of Maryland, College Park",1
Harvard University,Brandeis University,1
Harvard University,Virginia Tech,1
Harvard University,Washington University in St. Louis,1
Harvard University,"University of California, Irvine",1
Harvard University,Rensselaer Polytechnic Institute,1
Harvard University,University of Texas at Austin,1
SRM Institute of Science and Technology,University of Rochester,1
SRM Institute of Science and Technology,University of Texas at Austin,2
SRM Institute of Science and Technology,University of Illinois Urbana-Champaign,2
SRM Institute of Science and Technology,"University of California, Santa Barbara",1
University of Bari,Ismail Qemali University of Vlorë,1
Ismail Qemali University of Vlorë,University of Information Science and Technology "St. Paul The Apostle",1
University of Information Science and Technology "St. Paul The Apostle",Rochester Institute of Technology,1
Rochester Institute of Technology,University of Rochester,1
Rochester Institute of Technology,Vanderbilt University,1
Rochester Institute of Technology,University of Colorado Boulder,1
Rochester Institute of Technology,American University,1
Jordan University of Science and Technology,Jerash University,1
Jordan University of Science and Technology,Purdue University,1
Jerash University,Iowa State University,1
Iowa State University,University of Nebraska–Lincoln,1
Iowa State University,Stony Brook University,1
Iowa State University,Mount Mercy University,1
Iowa State University,University of Iowa,1
Iowa State University,University of Central Florida,2
Iowa State University,Michigan State University,1
Iowa State University,University of Illinois Urbana-Champaign,1
Iowa State University,Bowling Green State University,1
Iowa State University,Kansas State University,1
Iowa State University,University of Louisiana at Lafayette,1
Iowa State University,Colorado State University,2
Iowa State University,University of Western Ontario,1
Iowa State University,University of Texas at Austin,1
Iowa State University,North Carolina State University,1
William Jewell College,University of Nebraska–Lincoln,1
Shanghai Jiao Tong University,University of Nebraska–Lincoln,1
Shanghai Jiao Tong University,Dartmouth College,1
Georgia Tech,Texas A&M University,1
Georgia Tech,"University of California, San Diego",1
Georgia Tech,Stony Brook University,2
Georgia Tech,Arizona State University,1
Georgia Tech,Harvard University,1
Georgia Tech,Cornell University,1
Georgia Tech,University of Wisconsin–Madison,2
Georgia Tech,University of Florida,2
Georgia Tech,Yale University,2
Georgia Tech,University of Texas at Austin,1
Georgia Tech,Carnegie Mellon University,3
Georgia Tech,Princeton University,2
Georgia Tech,ICT University,1
Georgia Tech,Stanford University,2
Georgia Tech,University of Pennsylvania,1
Georgia Tech,Massachusetts Institute of Technology,1
Georgia Tech,University of Waterloo,1
Georgia Tech,Rice University,2
Georgia Tech,University of Illinois Urbana-Champaign,2
Georgia Tech,University of Southern California,1
Georgia Tech,University of Michigan,1
Georgia Tech,Emory University,1
Georgia Tech,"University of California, Irvine",1
Georgia Tech,California Institute of Technology,1
Georgia Tech,National University of Singapore,1
Georgia Tech,University of Washington,1
Georgia Tech,University of Nebraska–Lincoln,2
Georgia Tech,Boston University,1
Georgia Tech,Purdue University,2
Georgia Tech,University of Central Florida,1
Georgia Tech,Clemson University,2
Georgia Tech,Harding University,1
Georgia Tech,Washington University in St. Louis,2
Georgia Tech,University of Georgia,1
Georgia Tech,North Carolina State University,1
Georgia Tech,Winthrop University,1
Georgia Tech,West Virginia University,1
Georgia Tech,Northwestern University,1
University of North Carolina at Charlotte,Toyota Technological Institute,1
University of North Carolina at Charlotte,University of Florida,1
University of North Carolina at Charlotte,University of North Carolina at Charlotte,2
University of North Carolina at Charlotte,University of Virginia,1
University of North Carolina at Charlotte,University of Nebraska–Lincoln,1
University of North Carolina at Charlotte,University of Central Florida,1
University of North Carolina at Charlotte,University of Notre Dame,1
University of North Carolina at Charlotte,Tufts University,1
University of North Carolina at Charlotte,North Carolina State University,1
Toyota Technological Institute,University of Nebraska–Lincoln,1
Toyota Technological Institute,Indian Institute of Science,1
University of Toronto,University of Nebraska–Lincoln,1
University of Toronto,University of Innsbruck,1
University of Toronto,Purdue University,1
University of Toronto,Carnegie Mellon University,2
University of Toronto,University of Chicago,1
University of Toronto,Johns Hopkins University,1
University of Toronto,Rutgers University,1
University of Toronto,University of Texas at Arlington,1
University of Toronto,University of Pennsylvania,1
University of Toronto,Massachusetts Institute of Technology,1
University of Toronto,University of Virginia,1
University of Toronto,California Institute of Technology,1
University of Toronto,University of Illinois Urbana-Champaign,1
University of Toronto,Vennard College,1
University of Toronto,University of Colorado Boulder,1
University of Nebraska–Lincoln,National and Kapodistrian University of Athens,1
University of Nebraska–Lincoln,University of Nebraska–Lincoln,11
University of Nebraska–Lincoln,University of Central Florida,1
University of Nebraska–Lincoln,Michigan State University,1
University of Nebraska–Lincoln,University of Toronto,1
University of Nebraska–Lincoln,University of Virginia,1
University of Nebraska–Lincoln,Air University (United States Air Force),1
University of Nebraska–Lincoln,North Carolina A&T State University,1
University of Nebraska–Lincoln,Johns Hopkins University,1
University of Nebraska–Lincoln,University of Iowa,2
University of Nebraska–Lincoln,Anglo-American University,1
University of Nebraska–Lincoln,University of Nebraska system,1
University of Nebraska–Lincoln,Iowa State University,1
Vanderbilt University,University of Nebraska–Lincoln,1
Vanderbilt University,"University of Maryland, College Park",1
Vanderbilt University,University of Pennsylvania,1
Vanderbilt University,Oregon State University,1
Vanderbilt University,Free University of Berlin,1
Vanderbilt University,"University of California, Berkeley",1
Vanderbilt University,Virginia Tech,1
Vanderbilt University,University of Tennessee at Chattanooga,1
Vanderbilt University,Washington University in St. Louis,1
Massachusetts Institute of Technology,University of Nebraska–Lincoln,1
Massachusetts Institute of Technology,Arizona State University,1
Massachusetts Institute of Technology,Purdue University,2
Massachusetts Institute of Technology,Open University,1
Massachusetts Institute of Technology,Northeastern University,2
Massachusetts Institute of Technology,École Polytechnique Fédérale de Lausanne,1
Massachusetts Institute of Technology,Massachusetts Institute of Technology,9
Massachusetts Institute of Technology,Harvard University,6
Massachusetts Institute of Technology,Columbia University,1
Massachusetts Institute of Technology,North Carolina A&T State University,1
Massachusetts Institute of Technology,Northwestern University,4
Massachusetts Institute of Technology,University of Southern California,1
Massachusetts Institute of Technology,"University of California, Berkeley",14
Massachusetts Institute of Technology,University of Sussex,1
Massachusetts Institute of Technology,Cornell University,3
Massachusetts Institute of Technology,University of Edinburgh,1
