last_edu,next_edu,weight
Tsinghua University,"University of California, Berkeley",1
University of Bologna,University of Bologna,1
Columbia University,Columbia University,4
Columbia University,Duke University,1
Columbia University,Saarland University,1
Columbia University,Massachusetts Institute of Technology,1
Columbia University,University of Chicago,1
Columbia University,University of Pennsylvania,1
Columbia University,Fu Foundation School of Engineering and Applied Science,1
Columbia University,Carnegie Mellon University,1
Columbia University,Stony Brook University,2
Columbia University,Princeton University,1
Columbia University,Sharif University of Technology,1
University of Utah,Jadavpur University,1
University of Utah,Cornell University,1
IIT Bombay,Campion College,1
IIT Bombay,IIT Kharagpur,1
IIT Bombay,Kendriya Vidyalaya,2
IIT Bombay,IIT Bombay,1
University of Massachusetts Amherst,IIT Bombay,1
University of Massachusetts Amherst,University of Cincinnati,1
University of Massachusetts Amherst,Swarthmore College,1
University of Massachusetts Amherst,National and Kapodistrian University of Athens,1
University of Massachusetts Amherst,Aalto University,1
University of Massachusetts Amherst,University of Edinburgh,2
Carnegie Mellon University,"University of California, Berkeley",2
Carnegie Mellon University,Zhejiang University,1
Carnegie Mellon University,Maret School,1
Carnegie Mellon University,University of Rochester,1
Carnegie Mellon University,Carnegie Mellon University,7
Carnegie Mellon University,University of Wisconsin–Madison,1
Carnegie Mellon University,University of North Carolina at Chapel Hill,1
Carnegie Mellon University,Massachusetts Institute of Technology,2
Carnegie Mellon University,University of Richmond,1
Carnegie Mellon University,IIT Madras,2
Carnegie Mellon University,Princeton University,2
Carnegie Mellon University,Olin College,1
Carnegie Mellon University,University of Chicago,1
Carnegie Mellon University,Watchung Hills Regional High School,1
Carnegie Mellon University,Bilkent University,1
Carnegie Mellon University,Pennsylvania State University,1
Carnegie Mellon University,McGill University,1
Carnegie Mellon University,Case Western Reserve University,1
Carnegie Mellon University,University of Pennsylvania,1
Carnegie Mellon University,Simon Fraser University,1
Carnegie Mellon University,California Institute of Technology,2
Carnegie Mellon University,Boston University,1
Carnegie Mellon University,University of Waterloo,2
Carnegie Mellon University,University of Ljubljana,1
Carnegie Mellon University,Columbia University,1
Carnegie Mellon University,Brown University,2
Carnegie Mellon University,Harvard University,1
Carnegie Mellon University,Cornell University,1
Carnegie Mellon University,Yale University,2
Carnegie Mellon University,Emmaus High School,1
Carnegie Mellon University,University of Washington,1
Carnegie Mellon University,Tsinghua University,3
Carnegie Mellon University,Northwestern University,1
Carnegie Mellon University,Virginia Tech,1
"University of California, San Diego","University of California, Berkeley",1
"University of California, San Diego","University of California, San Diego",1
"University of California, San Diego",Peking University,1
"University of California, San Diego",Massachusetts Institute of Technology,1
"University of California, San Diego",Ain Shams University,1
"University of California, San Diego",University of Colorado Boulder,1
"University of California, San Diego",Purdue University,1
Yale University,Tsinghua University,1
Yale University,National Taiwan University,1
Yale University,Yale University,1
Yale University,Peking University,1
Yale University,Williams College,1
Yale University,University of Mainz,1
Yale University,University of Science and Technology of China,1
Yale University,Banaras Hindu University,1
Duke University,Dalian University of Technology,1
Duke University,Rice University,1
Duke University,Dartmouth College,2
Duke University,Duke University,4
Duke University,Central China Normal University,1
Imperial College London,University of Cambridge,1
Imperial College London,EOI Business School,1
Imperial College London,Federal University of Minas Gerais,1
University of Pennsylvania,Brown University,1
University of Pennsylvania,University of Cambridge,1
University of Pennsylvania,Stanford University,1
University of Pennsylvania,University of Oxford,1
University of Pennsylvania,Yeshiva University,2
University of Pennsylvania,"University at Albany, SUNY",1
University of Pennsylvania,Staples High School,1
University of Pennsylvania,University of Pennsylvania,3
University of Pennsylvania,Ridgewood High School (New Jersey),1
University of Pennsylvania,High School Affiliated to Fudan University,1
University of Pennsylvania,Boston College,1
University of Pennsylvania,"University of Maryland, College Park",1
University of Pennsylvania,National Technical University of Athens,1
University of Pennsylvania,IIT Kanpur,2
University of Pennsylvania,Georgia Tech,1
University of Pennsylvania,Michigan State University,1
University of Pennsylvania,University of Belgrade,1
University of Pennsylvania,Siena College,1
University of Pennsylvania,University of Edinburgh,1
University of Pennsylvania,Humboldt University of Berlin,1
Cornell University,Stanford University,1
Cornell University,IIT Kanpur,1
Cornell University,University of Southern California,1
Cornell University,Lexington High School (Massachusetts),1
Cornell University,Cornell University,4
Cornell University,Tsinghua University,1
Cornell University,Purdue University,1
Cornell University,Carnegie Mellon University,2
Cornell University,University of Chicago,1
Cornell University,University of Padua,1
Cornell University,Washington University in St. Louis,1
Cornell University,University of New South Wales,1
Cornell University,IIT Madras,2
Cornell University,University of North Carolina at Chapel Hill,1
Cornell University,University of Florida,1
Cornell University,United States Navy Strike Fighter Tactics Instructor program,1
Cornell University,Moscow Institute of Physics and Technology,1
Cornell University,University of New Mexico,1
Cornell University,Ithaca College,1
Cornell University,University of Oxford,1
Princeton University,University of Toronto,1
Princeton University,National University of Singapore,1
Princeton University,Moscow State University,2
Princeton University,Middle East Technical University,1
Princeton University,Peking University,1
Princeton University,Champlain Valley Union High School,1
Princeton University,University of Science and Technology of China,1
Princeton University,Bronx High School of Science,1
Princeton University,Harvard University,3
Princeton University,Wesleyan University,1
Princeton University,Duke University,1
Princeton University,Rice University,1
Princeton University,Swarthmore College,1
Princeton University,Columbia University,1
Princeton University,IIT Bombay,1
Princeton University,Massachusetts Institute of Technology,1
Princeton University,University of Ottawa,1
Princeton University,University of Tokyo,1
Princeton University,West Springfield High School (Virginia),1
Princeton University,Cooper Union,1
Saarland University,Osnabrück University,1
Saarland University,University of Zagreb,1
Saarland University,Princeton University,1
Saarland University,Saarland University,1
Harvard University,University of Patras,1
Harvard University,University of Southern Denmark,1
Harvard University,University of Toronto,1
Harvard University,University of Cambridge,1
Harvard University,Hong Kong University of Science and Technology,1
Harvard University,Cornell University,2
Harvard University,"University of California, Berkeley",3
Harvard University,Claremont McKenna College,1
Harvard University,University of Oxford,1
Harvard University,Harvard Medical School,1
Harvard University,Princeton University,1
Harvard University,Weizmann Institute of Science,1
Harvard University,Stanford University,1
Harvard University,Lawrenceville School,1
University of Orléans,University of Orléans,1
French Institute for Research in Computer Science and Automation,University of Orléans,1
"University of Maryland, College Park",Tongji University,1
"University of Maryland, College Park","University of Maryland, College Park",2
"University of Maryland, College Park",Hong Kong University of Science and Technology,1
"University of Maryland, College Park",Carnegie Mellon University,1
"University of Maryland, College Park",Earlham College,1
"University of Maryland, College Park",Columbia University,1
"University of Maryland, College Park",New York University,1
"University of Maryland, College Park",Virginia Tech,1
"University of Maryland, College Park",IIT Roorkee,1
"University of Maryland, College Park",University of Central Florida,1
Northwestern University,IIT Kanpur,1
Northwestern University,Boğaziçi University,1
