last_edu,first_work,weight
University of Florida,Cornell University,1
École des ponts ParisTech,Massachusetts Institute of Technology,1
École des ponts ParisTech,École Polytechnique Fédérale de Lausanne,1
Johnson University,Massachusetts Institute of Technology,1
University of Waterloo,Massachusetts Institute of Technology,1
University of Delaware,Massachusetts Institute of Technology,1
Bangladesh University of Engineering and Technology,University of Virginia,1
University of Rochester,University of Pennsylvania,1
University of Arizona,Georgia Tech,1
University of Arizona,University of Minnesota,1
University of Arizona,University of Colorado Boulder,1
Nanyang Technological University,Nanyang Technological University,1
Newberry College,University of North Carolina at Chapel Hill,1
Arizona State University,Washington University in St. Louis,1
Arizona State University,"University of California, Berkeley",1
Arizona State University,Columbia University,1
Tennessee State University,IIT Kharagpur,1
United States Naval Academy,Vanderbilt University,1
Texas A&M University,Texas A&M University,1
Texas A&M University,University of Illinois Urbana-Champaign,2
University of Moratuwa,Massachusetts Institute of Technology,1
Lancaster University,Lancaster University,1
Uniformed Services University of the Health Sciences,University of Wisconsin–Madison,1
Stevens Institute of Technology,Carnegie Mellon University,1
Newcastle University,Newcastle University,1
North Carolina State University,North Carolina State University,1
University of Iowa,University of Oxford,1
Louisiana State University,Northwestern University,1
Louisiana State University,Cardiff University,1
University of Stuttgart,University of Pennsylvania,1
Oklahoma State University–Stillwater,Georgia Tech,1
Portland State University,Portland State University,1
University College London,Imperial College London,1
University College London,University College London,1
Iowa State University,Massachusetts Institute of Technology,1
University of Padua,Brown University,1
Delft University of Technology,Delft University of Technology,1
Park University,Massachusetts Institute of Technology,1
McGill University,McGill University,1
Chadron State College,University of Illinois Urbana-Champaign,1
Indian Institute of Science,California Institute of Technology,1
Sogang University,"University of California, Berkeley",1
Oregon Health & Science University,University of Illinois Urbana-Champaign,1
Lehigh University,Stanford University,1
Saxion University of Applied Sciences,Stanford University,1
University of Bonn,University of Bonn,1
Texas Tech University,University of Washington,1
